pkg_name,doc_topics_cnt
gcite,16
EdSurvey,101
fdq,16
RBesT,65
recipes,145
tensorflow,14
BART,142
cleanNLP,31
lvnet,14
pinbasic,21
RcppMsgPack,10
SpaDES.core,127
valr,47
ggeffects,17
wTO,11
ems,33
GENEAclassify,19
jmv,49
reproducible,78
canvasXpress,5
divest,2
FRegSigCom,47
hommel,7
pkggraph,25
POUMM,38
Rdimtools,215
wrapr,56
DescToolsAddIns,2
giphyr,3
GJRM,107
LNIRT,4
mnreadR,28
palm,17
personalized,34
configr,18
dimRed,59
helixvis,4
skpr,25
sys,7
fastLink,34
fingertipsR,16
FSelectorRcpp,10
reqres,14
STARTS,5
AMCTestmakeR,5
nandb,34
Rcrawler,27
reportReg,2
aphid,43
gastempt,11
antiword,2
arsenal,49
dtangle,12
httptest,21
idefix,16
MALDIrppa,24
quickPlot,30
survHE,16
unrtf,2
walker,11
MADPop,8
memapp,3
breathteststan,6
elasticsearchr,18
exampletestr,2
gggenes,6
huxtable,85
worrms,21
mdmb,31
webmockr,24
WVPlots,36
augSIMEX,16
autothresholdr,11
eulerr,12
jmvcore,16
semtree,25
sessioninfo,4
shinyWidgets,134
spant,93
KarsTS,88
sigr,58
egg,8
numform,58
owmr,18
tidyRSS,2
dexter,43
redlistr,19
tesseract,4
VARtests,16
hutils,32
incidence,25
automultinomial,4
flextable,39
gibble,5
mvord,28
RATest,10
restriktor,57
shallot,19
spatstat.utils,34
AMModels,29
